timestamp_s,trunk_angle_deg,trunk_score,cervical_cm,cervical_score,lean_score,pss_raw,pss_smooth
21.281,8.54,0.0000,-0.58,0.0249,0.0000,0.0269,0.0269
21.408,8.51,0.0367,-2.02,0.0864,0.0000,0.0445,0.0296
21.514,7.05,0.0666,-1.34,0.0576,0.0000,0.0234,0.0278
21.643,6.94,0.1417,-0.91,0.0389,0.0000,0.0281,0.0272
21.744,6.84,0.1493,-1.26,0.0542,0.0000,0.0249,0.0267
21.856,6.66,0.1400,-1.81,0.0774,0.0000,0.0425,0.0284
21.987,6.68,0.1578,-2.75,0.1180,0.0000,0.0752,0.0337
22.094,6.58,0.1521,-3.14,0.1347,0.0000,0.0879,0.0392
22.230,6.67,0.1134,-3.86,0.1655,0.0000,0.1099,0.0469
22.362,6.16,0.0145,-5.53,0.2370,0.0000,0.1607,0.0634
22.462,6.19,0.0000,-6.38,0.2733,0.0000,0.1878,0.0787
22.601,6.90,0.0000,-6.89,0.2952,0.0000,0.2050,0.1027
22.726,7.01,0.0000,-7.33,0.3140,0.0000,0.2197,0.1281
22.845,7.49,0.0000,-8.44,0.3616,0.0000,0.2566,0.1487
22.947,7.95,0.0000,-9.26,0.3970,0.0000,0.2845,0.1715
23.083,7.45,0.0000,-8.80,0.3770,0.0000,0.2690,0.1999
23.256,9.85,0.0000,-7.96,0.3412,0.0000,0.2407,0.2214
23.358,9.08,0.0000,-7.96,0.3411,0.0000,0.2407,0.2325
23.469,8.93,0.0575,-8.34,0.3572,0.0000,0.2561,0.2445
23.604,8.97,0.0000,-9.71,0.4163,0.0000,0.2996,0.2557
23.706,8.18,0.0000,-10.24,0.4389,0.0000,0.3173,0.2662
23.818,8.40,0.0012,-10.26,0.4398,0.0000,0.3178,0.2760
23.952,8.28,0.0000,-10.75,0.4606,0.0000,0.3342,0.2859
24.066,8.12,0.0000,-9.67,0.4144,0.0052,0.2988,0.2885
24.174,8.97,0.0000,-9.91,0.4248,0.0454,0.3110,0.2907
24.307,9.69,0.0000,-9.97,0.4274,0.0988,0.3185,0.2998
24.441,10.16,0.0000,-10.07,0.4318,0.0421,0.3162,0.3048
24.574,10.20,0.0000,-9.69,0.4152,0.0616,0.3053,0.3104
24.692,9.91,0.0000,-9.95,0.4263,0.1244,0.3203,0.3139
24.806,9.40,0.0000,-10.06,0.4312,0.1108,0.3228,0.3146
24.906,9.53,0.0000,-10.91,0.4676,0.0000,0.3401,0.3162
25.041,9.03,0.0000,-12.04,0.5162,0.0000,0.3741,0.3212
25.176,9.34,0.0000,-12.93,0.5541,0.0000,0.3854,0.3291
25.307,8.71,0.0000,-12.70,0.5441,0.0000,0.3824,0.3399
25.440,8.68,0.0000,-12.60,0.5398,0.0000,0.3811,0.3487
25.556,8.29,0.0000,-12.33,0.5286,0.0000,0.3776,0.3558
25.657,8.25,0.0000,-12.36,0.5299,0.0000,0.3780,0.3633
25.773,8.05,0.0000,-12.37,0.5300,0.0000,0.3779,0.3715
25.907,8.07,0.0000,-12.14,0.5201,0.0000,0.3749,0.3773
26.010,8.50,0.0000,-12.85,0.5506,0.0000,0.3841,0.3792
26.208,8.75,0.0000,-12.75,0.5466,0.0000,0.3829,0.3799
26.345,8.61,0.0000,-12.84,0.5503,0.0000,0.3840,0.3802
26.470,8.55,0.0000,-12.41,0.5318,0.0000,0.3784,0.3800
26.586,8.80,0.0000,-12.01,0.5145,0.0000,0.3733,0.3796
26.724,8.97,0.0000,-12.00,0.5141,0.0000,0.3732,0.3788
26.830,8.76,0.0000,-11.98,0.5134,0.0000,0.3730,0.3784
26.973,9.88,0.0005,-10.92,0.4678,0.0000,0.3400,0.3751
27.092,9.76,0.0026,-10.64,0.4562,0.0000,0.3309,0.3688
27.221,7.45,0.0000,-10.75,0.4609,0.0000,0.3341,0.3619
27.325,5.90,0.0000,-11.37,0.4875,0.0000,0.3546,0.3572
27.426,5.66,0.0000,-11.07,0.4744,0.0000,0.3429,0.3536
27.558,5.26,0.0000,-11.62,0.4980,0.0000,0.3612,0.3506
27.692,5.35,0.0000,-12.91,0.5533,0.0000,0.3830,0.3512
27.807,5.43,0.0000,-12.90,0.5527,0.0000,0.3831,0.3529
27.991,6.49,0.0000,-11.61,0.4977,0.0000,0.3618,0.3552
28.125,7.33,0.0000,-10.78,0.4619,0.0000,0.3340,0.3565
28.254,6.90,0.0000,-10.79,0.4623,0.0000,0.3343,0.3576
28.357,6.39,0.0000,-10.58,0.4533,0.0000,0.3272,0.3567
28.487,6.56,0.0000,-10.50,0.4501,0.0000,0.3247,0.3542
