timestamp_s,event_type,pss_at_event,actions,latency_s,details
1.106,at_desired_pose,0.0000,,,
141.247,intervention,0.2948,rotate:0.027,0.844,id=1
161.927,intervention,0.3214,,,id=None
162.505,intervention,0.3489,rotate:-0.022,0.844,id=2
169.987,intervention,0.1920,,,id=None
171.011,intervention,0.5069,rotate:-0.063,0.841,id=3
172.023,intervention,0.5584,,,id=None
172.602,intervention,0.5503,rotate:-0.058,0.851,id=4
174.037,intervention,0.5502,,,id=None
174.217,intervention,0.5492,rotate:-0.058,0.844,id=5
175.801,intervention,0.5142,rotate:-0.043,0.850,id=6
176.056,intervention,0.5072,,,id=None
177.401,intervention,0.4434,rotate:-0.032,0.863,id=7
178.778,intervention,0.3763,,,id=None
179.196,intervention,0.3792,rotate:-0.030,0.835,id=8
181.004,intervention,0.2788,rotate:-0.020,0.853,id=9
183.919,intervention,0.2700,,,id=None
184.638,intervention,0.4100,rotate:-0.036,0.844,id=10
185.940,intervention,0.4498,,,id=None
186.206,intervention,0.4452,rotate:-0.035,0.819,id=11
187.808,intervention,0.4271,rotate:-0.028,0.820,id=12
187.959,intervention,0.4236,,,id=None
189.421,intervention,0.5076,rotate:-0.044,0.850,id=13
189.988,intervention,0.5080,,,id=None
191.006,intervention,0.4762,rotate:-0.032,0.839,id=14
192.521,intervention,0.3606,,,id=None
192.803,intervention,0.3567,rotate:-0.027,0.849,id=15
194.593,intervention,0.3305,rotate:-0.021,0.850,id=16
213.747,intervention,0.4260,raise:0.007|rotate:0.048,0.877,id=17
215.502,intervention,0.4143,rotate:0.046,0.833,id=18
217.276,intervention,0.4466,rotate:0.058,0.836,id=19
218.892,intervention,0.4507,rotate:0.052,0.837,id=20
220.728,intervention,0.4370,rotate:0.051,0.867,id=21
222.537,intervention,0.4279,rotate:0.048,0.868,id=22
224.330,intervention,0.4158,rotate:0.051,0.848,id=23
226.106,intervention,0.4148,rotate:0.053,0.843,id=24
227.870,intervention,0.4182,rotate:0.054,0.833,id=25
229.635,intervention,0.4135,rotate:0.050,0.845,id=26
231.400,intervention,0.3715,rotate:0.027,0.838,id=27
233.704,intervention,0.3546,rotate:0.037,0.867,id=28
235.474,intervention,0.3513,rotate:0.038,0.834,id=29
237.279,intervention,0.2575,rotate:0.025,0.861,id=30
250.429,intervention,0.3358,rotate:0.033,0.842,id=31
252.201,intervention,0.2675,rotate:0.027,0.836,id=32
253.995,intervention,0.2668,rotate:0.028,0.849,id=33
255.774,intervention,0.3463,rotate:0.034,0.830,id=34
257.566,intervention,0.3363,rotate:0.037,0.860,id=35
259.337,intervention,0.3952,rotate:0.044,0.821,id=36
261.130,intervention,0.3930,rotate:0.047,0.839,id=37
262.888,intervention,0.4013,rotate:0.049,0.827,id=38
264.705,intervention,0.4073,rotate:0.051,0.841,id=39
266.505,intervention,0.4126,rotate:0.050,0.841,id=40
268.295,intervention,0.4317,rotate:0.053,0.859,id=41
270.072,intervention,0.4259,rotate:0.050,0.838,id=42
271.867,intervention,0.4176,rotate:0.049,0.832,id=43
273.660,intervention,0.4164,rotate:0.053,0.830,id=44
275.433,intervention,0.4204,rotate:0.056,0.835,id=45
277.227,intervention,0.4275,rotate:0.054,0.838,id=46
279.010,intervention,0.3934,rotate:0.038,0.849,id=47
282.801,intervention,0.2670,rotate:0.031,0.833,id=48
284.600,intervention,0.2791,rotate:0.028,0.836,id=49
286.362,intervention,0.3313,rotate:0.035,0.841,id=50
288.169,intervention,0.3360,rotate:0.036,0.869,id=51
289.996,intervention,0.2755,rotate:0.028,0.865,id=52
291.761,intervention,0.3076,rotate:0.040,0.820,id=53
293.530,intervention,0.3698,rotate:0.039,0.827,id=54
295.286,intervention,0.1682,,,id=None
296.458,intervention,0.4016,rotate:-0.024,0.837,id=55
297.944,intervention,0.2772,rotate:-0.021,0.823,id=56
299.740,intervention,0.2684,raise:0.008,0.835,id=57
303.004,intervention,0.2872,raise:0.008,0.847,id=58
309.832,intervention,0.2913,rotate:-0.021,0.837,id=59
316.087,intervention,0.3860,rotate:0.026,0.851,id=60
318.472,intervention,0.4800,,,id=None
318.662,intervention,0.4981,rotate:-0.080,0.883,id=61
320.225,intervention,0.3240,raise:0.008,0.822,id=62
327.137,intervention,0.3414,rotate:-0.023,0.845,id=63
327.581,intervention,0.3295,,,id=None
328.898,intervention,0.3915,rotate:-0.031,0.831,id=64
334.505,intervention,0.2884,rotate:0.027,0.851,id=65
337.995,intervention,0.1830,,,id=None
338.166,user_abort,0.2586,,,
